model,missing_rate,mean_auroc,mean_auprc,mean_f1,mean_balanced_accuracy,mean_brier
Full ABPM-TSL,0.0,0.7296558035714286,0.5106558152088609,0.3774812430028156,0.6563839285714286,0.2983046876210772
Random forest,0.0,0.6233032366071429,0.43208023097161846,0.2523869348114739,0.6023571428571429,0.22067867134611358
Full ABPM-TSL,0.1,0.7299815848214285,0.4975778829470944,0.3710876424832927,0.6506428571428572,0.29648302011757577
Random forest,0.1,0.6143075892857144,0.42081383179728454,0.2423543664331394,0.5966160714285715,0.21672345049978023
Full ABPM-TSL,0.3,0.7040533482142857,0.4514319899637707,0.34458889180438385,0.6264866071428571,0.2952721345212447
Random forest,0.3,0.583332924107143,0.3869488368348212,0.22407357987597,0.5797723214285714,0.2130282999157541
Full ABPM-TSL,0.5,0.6924497767857143,0.42739558251717497,0.34895428159130787,0.6193928571428571,0.27756951357144527
Random forest,0.5,0.5783024553571429,0.36153421145072306,0.20711888816897245,0.5577991071428572,0.20878711821047474
Full ABPM-TSL,0.7,0.6456588169642858,0.38260232248372217,0.29157577513774113,0.5769196428571429,0.27457120503057064
Random forest,0.7,0.5485291294642856,0.33667758078287113,0.14638148884140906,0.5294553571428572,0.2169649601917915
