model,target,auroc,auprc,f1,balanced_accuracy,brier
Logistic regression,abnormal_dipping,0.706921875,0.7490256569387026,0.6061776061776062,0.6940625,0.24966366054468989
Logistic regression,morning_surge_high,0.5226897321428572,0.2086734141507023,0.3202979515828678,0.5089285714285714,0.32523664936882535
Logistic regression,nocturnal_hypertension,0.8720507812499999,0.29813048915657236,0.5362318840579711,0.8671875,0.1576443788078718
Logistic regression,high_bp_burden,0.9557421875,0.7217186007344426,0.5563380281690141,0.89609375,0.14901967177172573
Logistic regression,high_variability,0.3714609375,0.3540318006865837,0.09237875288683603,0.415,0.45691595197371887
Random forest,abnormal_dipping,0.6904296875,0.7444863321648543,0.56,0.6340625,0.23102839460110625
Random forest,morning_surge_high,0.4203459821428571,0.18425946513641328,0.011428571428571429,0.490625,0.19483560347311427
Random forest,nocturnal_hypertension,0.7253125,0.1743373725246315,0.11518324607329843,0.490625,0.13081257952222852
Random forest,high_bp_burden,0.9205664062500001,0.517119888138,0.4401114206128134,0.8375,0.15993153855922349
Random forest,high_variability,0.474,0.44494485154149943,0.10140845070422536,0.506875,0.3325805956788317
HistGradientBoosting,abnormal_dipping,0.645046875,0.640205084786639,0.5805309734513274,0.655,0.3097524612547155
HistGradientBoosting,morning_surge_high,0.5474776785714286,0.2207489487365924,0.03773584905660377,0.46964285714285714,0.24316662950202642
HistGradientBoosting,nocturnal_hypertension,0.8183593749999999,0.23994239025561637,0.4067796610169492,0.715625,0.17960998262842737
HistGradientBoosting,high_bp_burden,0.731318359375,0.1873536047280711,0.18705035971223022,0.528125,0.2559604537584183
HistGradientBoosting,high_variability,0.6234375000000001,0.4925566129947501,0.25892857142857145,0.5031249999999999,0.43061503125806555
Student MLP only,abnormal_dipping,0.6719453125,0.7431847264154632,0.6095238095238096,0.69375,0.2725990933930406
Student MLP only,morning_surge_high,0.5795535714285714,0.23023844322433637,0.051094890510948905,0.4263392857142857,0.3295203086810207
Student MLP only,nocturnal_hypertension,0.86373046875,0.28647880851850566,0.4608695652173913,0.7554687499999999,0.15457586460413364
Student MLP only,high_bp_burden,0.9923339843750001,0.9492249857954875,0.40609137055837563,0.8171875,0.29176723957278
Student MLP only,high_variability,0.5015625,0.46987197291003263,0.18848167539267016,0.52375,0.4210408233553837
+ missing mask,abnormal_dipping,0.6812968749999999,0.745788016194397,0.6290322580645161,0.71875,0.24702583808912876
+ missing mask,morning_surge_high,0.5941852678571428,0.23543432909233714,0.08176100628930817,0.4111607142857143,0.35506351753082277
+ missing mask,nocturnal_hypertension,0.88693359375,0.3229782275872883,0.5388127853881278,0.80625,0.1299760033895303
+ missing mask,high_bp_burden,0.940068359375,0.6385800919865234,0.4072164948453608,0.8148437500000001,0.293449333064515
+ missing mask,high_variability,0.4043046875,0.3887422633791425,0.096,0.481875,0.45763398124224025
+ feature dropout,abnormal_dipping,0.6534609375,0.7302195126912036,0.5854545454545454,0.6653125,0.29396411980551035
+ feature dropout,morning_surge_high,0.5572209821428571,0.22004265034230838,0.06707317073170732,0.39419642857142856,0.3563794649474126
+ feature dropout,nocturnal_hypertension,0.87724609375,0.3070101995979004,0.563265306122449,0.85625,0.13772220168865032
+ feature dropout,high_bp_burden,0.953466796875,0.7153684552788254,0.4,0.8125,0.3080607467910892
+ feature dropout,high_variability,0.592359375,0.5814410439288471,0.24102564102564103,0.5446875,0.37455943802411534
+ teacher soft labels,abnormal_dipping,0.6324765625,0.7265856603314822,0.5818181818181818,0.6625,0.2959549024898676
+ teacher soft labels,morning_surge_high,0.5165290178571429,0.20574127420859437,0.07602339181286549,0.38973214285714286,0.3788488243382758
+ teacher soft labels,nocturnal_hypertension,0.85875,0.2829039588566498,0.552,0.85234375,0.14698191412049263
+ teacher soft labels,high_bp_burden,0.9523828125,0.6770982147109341,0.387409200968523,0.80234375,0.315729319622039
+ teacher soft labels,high_variability,0.688140625,0.6609499679366441,0.29015544041450775,0.575,0.35400847753471104
Full ABPM-TSL,abnormal_dipping,0.6324765625,0.7265856603314822,0.5818181818181818,0.6625,0.2959549024898676
Full ABPM-TSL,morning_surge_high,0.5165290178571429,0.20574127420859437,0.07602339181286549,0.38973214285714286,0.3788488243382758
Full ABPM-TSL,nocturnal_hypertension,0.85875,0.2829039588566498,0.552,0.85234375,0.14698191412049263
Full ABPM-TSL,high_bp_burden,0.9523828125,0.6770982147109341,0.387409200968523,0.80234375,0.315729319622039
Full ABPM-TSL,high_variability,0.688140625,0.6609499679366441,0.29015544041450775,0.575,0.35400847753471104
